Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
3,51.31868132,6.342378986,757.1157495,25.38461538,1.846067416,72.58181818,0.119991775,0.006525285,,22.80567993,21,2
5,59.74358974,6.577864082,1965.844402,18.46153846,1.871910112,71.81818182,0.123333721,0.022838499,,22.25420858,21,2
10,58.91941392,6.786812541,1886.148008,14.61538462,1.874157303,69.6,0.133041279,0.16639478,,21.54100386,21,2
15,53.88278388,7.077147373,1673.624288,13.84615385,1.906741573,68.76363636,0.136701505,0.182707993,,20.91846139,21,2
5,59.83516484,8.530843022,166.0341556,5.384615385,1.931460674,68.87272727,0.136030033,0.137030995,,20.68350565,22,2
10,58.55311355,7.826592995,126.1859583,13.07692308,1.994382022,67.81818182,0.140638527,0.287112561,,19.72425144,22,2
15,54.52380952,7.927054874,86.33776091,22.30769231,2.020224719,66.65454545,0.145723762,0.326264274,,19.13783601,22,2
5,57.36263736,7.445854722,2138.519924,4.615384615,1.825842697,68.83636364,0.130251554,0.07177814,,21.86841465,23,2
10,62.94871795,6.868198915,1859.582543,23.07692308,1.951685393,67.23636364,0.136938915,0.60685155,,19.98283692,23,2
15,57.36263736,6.389975865,1434.535104,41.53846154,1.988764045,64.90909091,0.146665985,0.649265905,,18.93149911,23,2
7,52.29094077,8.534893993,4578.640777,619.1634241,1.791828794,53.65604575,0.129822574,0.227998176,,13.59477124,24,2
10,50.20034843,8.506183746,3413.592233,706.7120623,1.972762646,44.96323529,0.154173604,0.302345407,,11.28431373,24,2
3,57.45209059,5.973939929,2400,738.3268482,1.575875486,62.58169935,0.104596359,0.03791888,,16.08823529,25,2
7,55.23083624,8.270759717,4077.669903,945.0389105,1.96692607,45.73937908,0.15167614,0.161567402,,10.9869281,25,2
10,52.09494774,8.161660777,3122.330097,1061.770428,2.177042802,39.84068627,0.168164911,0.212675457,,9.111111111,25,2
4,54.69259724,7.940149626,2179.6875,761.8110236,2.521686011,61.27272727,0.05604911,0.001203211,,14.09415167,26,2
8,58.58218319,9.028678304,2453.125,790.1574803,2.316432498,55.81818182,0.063943351,0.09685852,,13.9771548,26,2
4,59.1468005,7.891521197,2257.8125,775.984252,2.543677459,62.18181818,0.057869988,0.001203211,,14.17960437,27,2
8,59.83688833,8.729426434,3164.0625,864.5669291,2.415394013,53.81818182,0.070668158,0.068583052,,12.92420311,27,2
13,50.42659975,8.385286783,2546.875,967.3228346,2.153329261,47.18181818,0.080823228,0.162433543,,12.70945621,27,2
4,50.08237232,8.906937394,9458.333333,496.0138648,1.912101386,59.84615385,0.197540208,0.01924812,,18.15465778,28,2
6,52.04283361,8.983079526,7979.166667,449.220104,1.70117201,57.15384615,0.210785241,0.037894737,,19.48767245,28,2
4,51.5815486,8.492385787,10479.16667,429.4627383,2.04741056,58.38461538,0.200928505,0.01912782,,16.54078906,29,2
