Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
14,19.66412214,8.595115603,6696.969697,331.6194903,1.947049924,40.59236364,0.240628337,2.088780757,,12.09288691,41,3
21,33.83206107,8.58503157,6439.393939,340.093695,2.031013616,39.36989091,0.245579916,2.161232359,,11.24382597,41,3
28,20.51908397,7.494048001,2909.090909,1567.928844,2.189863843,37.61454545,0.252689875,2.192867635,,9.963259538,41,3
34,12.94656489,7.342127691,2454.545455,1854.853209,2.180786687,37.11301818,0.254721291,2.198841876,,9.871333523,41,3
8,41.03816794,7.345520193,3303.030303,108.2352167,1.937972769,45.45090909,0.220948986,1.4807657,,13.60371869,42,3
9,48.73282443,7.455311896,3954.545455,150.5075753,1.947049924,44.98072727,0.22285344,1.613563034,,13.40022604,42,3
10,49.95419847,7.565103599,4606.060606,195.8056524,1.958396369,44.4792,0.224884856,1.685142437,,13.17404403,42,3
14,30.77862595,7.999690258,7393.939394,367.9281136,2.001512859,42.53578182,0.232756597,1.808168512,,12.3270391,42,3
21,23.20610687,7.549922564,5833.333333,615.4340883,2.099092284,41.0312,0.238850847,1.834708305,,11.33823423,42,3
28,15.38931298,7.182597619,3454.545455,1573.976627,2.307866868,38.49221818,0.249134895,1.840826819,,9.674419713,42,3
34,14.90076336,7.12684402,3242.424242,1637.005123,2.301059002,37.99069091,0.251166312,1.841705577,,9.576618254,42,3
8,46.90076336,7.423382788,3848.484848,108.2315625,1.928895613,46.10916364,0.217317055,0.929745291,,13.86568271,43,3
9,49.95419847,7.560655407,4348.484848,138.4047008,1.949319213,45.76436364,0.218707475,1.0217263,,13.61780788,43,3
10,48,7.702508179,4848.484848,171.6035578,1.969742814,45.35687273,0.220350699,1.098407744,,13.3566122,43,3
14,27.96946565,8.247024,6787.878788,292.2851484,2.049167927,44.04036364,0.225659577,1.267352185,,12.46625726,43,3
21,22.22900763,7.975876763,6242.424242,373.3765996,2.264750378,41.62676364,0.23539252,1.298994019,,10.66141981,43,3
28,15.75572519,7.503208306,4484.848485,1223.000577,2.366868381,40.81178182,0.238678969,1.320418656,,10.00170836,43,3
34,14.90076336,7.484095928,3909.090909,1458.484071,2.407715582,39.77738182,0.24285023,1.40802555,,9.582829235,43,3
7,48.61068702,7.290690322,3333.333333,75.04366828,2.214826021,46.32858182,0.222478404,2.322451603,,12.13310979,44,3
8,38.59541985,7.386741567,3909.090909,102.1837795,2.19667171,45.92109091,0.224167532,2.353214679,,12.12578262,44,3
9,35.66412214,7.487372964,4545.454545,135.3789822,2.169440242,45.45090909,0.226116527,2.383971198,,12.1522759,44,3
10,28.94656489,7.592584515,5106.060606,168.5741849,2.15128593,45.01207273,0.227935588,2.440244478,,12.13650428,44,3
14,18.19847328,7.985955298,7545.454545,298.3402399,2.058245083,43.19403636,0.2354717,2.56327711,,12.17277071,44,3
21,22.22900763,7.957556152,7530.30303,294.7079158,2.198940998,41.47003636,0.242618014,2.60510991,,10.93915001,44,3
28,16.24427481,7.860460215,7575.757576,348.5605911,2.267019667,39.3072,0.251583388,2.621439064,,10.05725726,44,3
34,14.53435115,7.836767684,7803.030303,275.4244411,2.2397882,38.24145455,0.256001109,2.632521903,,9.903533818,44,3
7,48.48854962,7.24946345,3075.757576,59.90776674,2.398638427,46.76741818,0.223858873,1.552076229,,11.3094464,45,3
8,36.64122137,7.400476526,3666.666667,96.1323423,2.366868381,46.548,0.224781592,1.572608992,,11.40747843,45,3
9,41.16030534,7.551495102,4257.575758,129.327545,2.337367625,46.35992727,0.225572494,1.572753266,,11.50478376,45,3
10,45.55725191,7.693347874,4878.787879,162.526402,2.30332829,46.10916364,0.22662703,1.623917948,,11.61165547,45,3
14,33.46564885,8.29740568,7181.818182,292.2741857,2.176248109,45.32552727,0.229922454,1.818372593,,12.08084179,45,3
21,21.98473282,8.255266076,7469.69697,312.8585732,2.339636914,43.25672727,0.238622375,1.870422591,,10.72427476,45,3
28,16.24427481,8.272668457,7257.575758,288.0498732,2.398638427,41.97156364,0.244026871,1.912255391,,10.14969754,45,3
34,14.90076336,8.226091658,7424.242424,305.6852814,2.468986384,41.25061818,0.247058662,1.928433713,,9.691131907,45,3
18,41.51222651,8.918727915,229.7297297,43.05912596,1.730174638,69.56743003,0.696158324,4.529388164,,23.41562583,46,3
26,34.75546976,8.473498233,99.0990991,73.26478149,1.883774355,67.81170483,0.736321304,4.589922167,,21.03895989,46,3
34,35.84942085,8.261484099,63.06306306,156.8123393,1.933827952,66.51399491,0.766006985,4.596924544,,20.16818464,46,3
42,34.56241956,8.441696113,40.54054054,266.066838,1.992243749,65.90330789,0.779976717,4.596924544,,19.43556479,46,3
50,35.84942085,8.473498233,22.52252252,466.5809769,2.014611766,65.59796438,0.786961583,4.596924544,,19.24065261,46,3
18,43.31402831,6.533568905,1229.72973,23.13624679,1.952892775,67.04834606,0.731638418,1.743294315,,20.17362839,47,3
26,32.95366795,6.96819788,346.8468468,39.20308483,2.004306409,65.77608142,0.759887006,1.838839111,,19.59472213,47,3
34,34.69111969,7.477031802,207.2072072,77.76349614,2.046386388,64.1221374,0.79661017,1.848928112,,18.93892687,47,3
42,35.72072072,7.784452297,103.6036036,197.9434447,2.097786622,62.67175573,0.828813559,1.848928112,,18.51360536,47,3
50,35.84942085,7.975265018,49.54954955,398.4575835,2.172278191,62.23918575,0.838418079,1.848928112,,18.28805998,47,3
18,38.80952381,5.780918728,1878.378378,9.640102828,2.043048952,65.80152672,0.745011087,1.148182741,,19.20563863,48,3
26,38.42342342,5.961130742,950.4504505,19.28020566,2.099611418,64.04580153,0.783259424,1.24271101,,18.288672,48,3
34,35.59202059,6.268551237,477.4774775,109.2544987,2.186215025,62.08651399,0.825942351,1.25177041,,17.72506624,48,3
42,33.91891892,6.893992933,346.8468468,179.3059126,2.26619314,61.0178117,0.849223947,1.25177041,,16.96174877,48,3
50,35.46332046,7.180212014,211.7117117,328.4061697,2.313535598,60.40712468,0.862527716,1.25177041,,16.72087068,48,3
18,37.32947233,5.229681979,2513.513514,14.781491,2.03198008,68.42239186,0.672993492,0.592187289,,19.20567085,49,3
26,34.69111969,5.144876325,1581.081081,11.56812339,2.054824766,66.28498728,0.718546638,0.598818138,,18.28870421,49,3
34,36.68597169,5.431095406,1400.900901,64.26735219,2.102951832,65.47073791,0.735900217,0.598818138,,17.72509845,49,3
42,35.01287001,6.014134276,945.9459459,133.6760925,2.16433286,64.19847328,0.763015184,0.598818138,,17.08473252,49,3
50,35.84942085,6.247349823,837.8378378,225.5784062,2.187422705,63.86768448,0.770065076,0.598818138,,16.90524968,49,3
18,39.32432432,4.625441696,3139.63964,7.06940874,1.996459837,69.16030534,0.635220126,0.290505471,,19.29786035,50,3
26,34.62676963,4.83745583,2752.252252,5.784061697,2.02413053,67.63358779,0.666666667,0.292811996,,18.58060542,50,3
34,35.59202059,5.208480565,2216.216216,44.98714653,2.061641572,66.10687023,0.698113208,0.292811996,,17.69440082,50,3
42,35.97812098,5.113074205,1684.684685,74.55012853,2.122512928,65.31806616,0.714360587,0.292811996,,17.31514185,50,3
50,36.17117117,5.335689046,1450.45045,179.3059126,2.157312831,64.88549618,0.72327044,0.292811996,,17.07426376,50,3
8,48,8.389357798,3269.230769,67.53782669,2.370288858,45.93855296,0.018255472,0.391936915,,11.24187558,51,3
12,40,8.453944954,3294.871795,40.30261348,2.170013755,44.84297111,0.018625428,1.324647548,,11.98656187,51,3
18,28,8.459816514,2455.128205,244.9793673,1.962035763,43.41539477,0.019107492,2.048986657,,12.83510937,51,3
24,24,8.339449541,2256.410256,250.7565337,1.759834938,42.12061623,0.019544713,2.272241862,,13.88307019,51,3
8,48,8.612477064,2942.307692,143.4662999,2.435763411,43.94658597,0.018928119,0.649920707,,10.46532641,52,3
12,40,8.606605505,2961.538462,181.4305365,2.191196699,42.22021458,0.01951108,1.101392343,,11.17639674,52,3
18,28,8.506788991,2653.846154,231.7744154,2.104539202,39.06626685,0.020576106,1.433794537,,10.76732026,52,3
24,24,8.421651376,2506.410256,298.6244842,2.019807428,35.94551857,0.02162992,1.58263134,,10.32280033,52,3
8,48,8.618348624,3102.564103,220.2200825,2.374140303,43.94658597,0.018928119,0.352247101,,10.73696408,53,3
12,40,8.580183486,3275.641026,230.9491059,2.170013755,41.39022834,0.01979135,0.917826953,,11.06364097,53,3
18,28,8.52146789,2794.871795,291.1966988,2.073727648,38.07028336,0.020912429,1.121237251,,10.64871319,53,3
24,24,8.442201835,2583.333333,330.8115543,1.983218707,34.91633563,0.021977455,1.24526792,,10.21223471,53,3
