Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,literature,C/N Ratio,exp_id,stage
29,22.3059867,8.381818182,2875.816993,1443.207127,1.98030303,53.73689042,0.902270712,4.642047193,,15.73995977,12,3
34,22.86031042,8.263636364,2784.313725,1648.106904,2.010606061,53.22882023,0.912179619,4.744294929,,15.3561587,12,3
0,18.98004435,6.5,366.0130719,182.6280624,2.010606061,73.16170199,0.511974118,0,,21.1066618,13,1
3,47.58314856,8.654545455,4026.143791,409.7995546,1.959090909,64.92473234,0.669104621,0.020654025,,19.2228739,13,1
6,54.78935698,9.190909091,5019.607843,556.7928731,1.88030303,60.50489497,0.75341855,0.743545161,,18.66488867,13,2
10,52.1286031,9.018181818,4248.366013,521.1581292,1.871212121,58.89768138,0.78407816,1.838208869,,18.25735729,13,2
14,48.69179601,8.818181818,3620.915033,561.247216,1.95,55.93438132,0.840606817,2.746986288,,16.63822396,13,3
19,40.82039911,8.454545455,3333.333333,761.6926503,1.990909091,53.52356093,0.886596232,3.304645158,,15.59395613,13,3
24,33.17073171,8.236363636,2888.888889,1104.67706,2.03030303,52.71995414,0.901926038,3.655763706,,15.0618008,13,3
29,23.19290466,8.127272727,2784.313725,1501.113586,2.06969697,52.21769989,0.911507166,3.841649997,,14.63435927,13,3
34,16.98447894,8.118181818,2771.24183,1719.376392,2.089393939,52.06702362,0.914381504,3.924266126,,14.45456945,13,3
0,20.53215078,6.6,366.0130719,200.4454343,1.989393939,72.31451299,0.505903582,0,,21.0846994,14,1
3,48.24833703,8.236363636,4183.006536,467.7060134,1.93030303,62.78289755,0.68007709,0.020409127,,18.86594662,14,1
6,54.12416851,8.990909091,4692.810458,538.9755011,1.940909091,59.05961027,0.748113617,0.714319725,,17.65013864,14,2
10,52.01773836,8.718181818,4875.816993,587.9732739,1.990909091,56.03133661,0.803449992,1.775594745,,16.32459033,14,2
14,50.13303769,8.445454545,3555.555556,556.7928731,2.010606061,51.66267953,0.883279516,2.632778415,,14.90433758,14,2
19,43.2594235,7.963636364,3241.830065,752.7839644,2.040909091,51.01730974,0.895072514,3.10218852,,14.49962038,14,3
24,33.3924612,7.818181818,2784.313725,1033.407572,2.060606061,50.66980292,0.90142259,3.245052465,,14.26320029,14,3
29,25.29933481,7.754545455,2562.091503,1331.848552,2.089393939,50.17336462,0.910494127,3.30627987,,13.92886193,14,3
34,20.86474501,7.709090909,2326.797386,1728.285078,2.1,50.02443313,0.913215588,3.34709814,,13.8173774,14,3
0,19.20177384,6.690909091,366.0130719,182.6280624,1.981818182,71.46732399,0.501935908,0,,20.91733976,15,1
3,47.02882483,8.136363636,4235.294118,525.6124722,1.95,64.40236198,0.626220014,0.020249064,,19.1571069,15,1
6,52.90465632,8.918181818,4771.24183,543.4298441,1.921212121,61.80206347,0.671963469,0.546724925,,18.65908728,15,2
10,52.23946785,8.563636364,4980.392157,538.9755011,1.940909091,57.43552445,0.748777951,1.559178489,,17.1647758,15,2
14,49.46784922,8.427272727,3947.712418,592.4276169,1.971212121,52.92179872,0.828181685,2.389390412,,15.57270204,15,3
19,41.92904656,7.718181818,3738.562092,708.2405345,1.989393939,52.57836307,0.834223274,2.794371837,,15.33024194,15,3
24,33.50332594,7.654545455,2888.888889,1109.131403,2.031818182,52.28398965,0.839401778,2.915866265,,14.92610926,15,3
29,25.07760532,7.527272727,2771.24183,1510.022272,2.040909091,51.89149176,0.846306451,2.976613479,,14.74807149,15,3
34,19.53436807,7.427272727,2627.45098,1648.106904,2.08030303,51.49899387,0.853211123,2.99686255,,14.3593533,15,3
0,16.43015521,6.709090909,366.0130719,213.8084633,1.960606061,70.62013498,0.493232241,0,,20.89300658,16,1
3,46.25277162,8.045454545,4326.797386,592.4276169,1.901515152,64.31765154,0.599038991,0.019897941,,19.61973453,16,1
6,52.1286031,8.809090909,4784.313725,574.610245,1.871212121,61.50577431,0.646245079,0.537244607,,19.06582519,16,2
10,51.24168514,8.518181818,5163.398693,579.064588,1.909090909,57.28795847,0.717054212,1.492346132,,17.40601986,16,2
